학교명,도로명주소
혜원여자고등학교,서울특별시 중랑구 봉우재로58길 39
혜화여자고등학교,서울특별시 강북구 인수봉로 127
홍익대학교사범대학부속고등학교,서울특별시 성북구 성북로14가길 23
홍익대학교사범대학부속여자고등학교,서울특별시 마포구 성미산로 51
화곡고등학교,서울특별시 강서구 강서로45길 69
환일고등학교,서울특별시 중구 환일길 47
효문고등학교,서울특별시 도봉구 우이천로 432
휘경여자고등학교,서울특별시 동대문구 한천로 247
휘문고등학교,서울특별시 강남구 역삼로 541
휘봉고등학교,서울특별시 동대문구 한천로 290
