,학교명,도로명주소,경도,위도
170,월계고등학교,서울특별시 노원구 초안산로5길 66,0,0
171,은광여자고등학교,서울특별시 강남구 남부순환로359길 36,0,0
172,은평고등학교,서울특별시 은평구 갈현로15길 47,0,0
173,이화여자고등학교,서울특별시 중구 정동길,0,0
174,이화여자대학교사범대학부속이화금란고등학교,서울특별시 서대문구 성산로 560,0,0
175,인창고등학교,서울특별시 서대문구 경기대로 65,0,0
176,인헌고등학교,서울특별시 관악구 인헌9길 74,0,0
177,자양고등학교,서울특별시 광진구 뚝섬로37길 28,0,0
178,자운고등학교,서울특별시 도봉구 노해로69길 150,0,0
179,잠신고등학교,서울특별시 송파구 잠실로 24,0,0
180,잠실고등학교,서울특별시 송파구 올림픽로33길 71,0,0
181,잠실여자고등학교,서울특별시 송파구 송파대로38길 8,0,0
182,잠일고등학교,서울특별시 송파구 백제고분로 21,0,0
183,장충고등학교,서울특별시 중구 동호로15길 93,0,0
184,장훈고등학교,서울특별시 영등포구 영등포로64길 26,0,0
185,재현고등학교,서울특별시 노원구 덕릉로82길 64,0,0
186,정신여자고등학교,서울특별시 송파구 올림픽로4길 16,0,0
187,정의여자고등학교,서울특별시 도봉구 노해로49길 69,0,0
188,중경고등학교,서울특별시 용산구 이촌로84길 34,0,0
189,중동고등학교,서울특별시 강남구 일원로 7,0,0
190,중산고등학교,서울특별시 강남구 일원로14길 22,0,0
191,중앙고등학교,서울특별시 종로구 창덕궁길 164,0,0
192,중앙대학교사범대학부속고등학교,서울특별시 강남구 선릉로 207,0,0
193,중앙여자고등학교,서울특별시 서대문구 북아현로11가길 7,0,0
194,중화고등학교,서울특별시 중랑구 봉화산로27길 62,0,0
195,진관고등학교,서울특별시 은평구 진관4로 26,0,0
196,진명여자고등학교,서울특별시 양천구 목동로 170,0,0
197,진선여자고등학교,서울특별시 강남구 선릉로85길 27,0,0
198,창덕여자고등학교,서울특별시 송파구 양재대로 1240,0,0
199,창동고등학교,서울특별시 도봉구 노해로62길 7,0,0
200,창문여자고등학교,서울특별시 강북구 월계로 61,0,0
201,청담고등학교,서울특별시 강남구 압구정로 419,0,0
202,청량고등학교,서울특별시 동대문구 왕산로 303,0,0
203,청원고등학교,서울특별시 노원구 한글비석로 506,0,0
204,청원여자고등학교,서울특별시 노원구 한글비석로 506,0,0
205,충암고등학교,서울특별시 은평구 가좌로5길 5,0,0
206,태릉고등학교,서울특별시 중랑구 신내로23길 36,0,0
207,풍문고등학교,서울특별시 강남구 자곡로 152,0,0
208,하나고등학교,서울특별시 은평구 연서로 535,0,0
209,한가람고등학교,서울특별시 양천구 목동서로 15,0,0
210,한광고등학교,서울특별시 강서구 등촌로13길 110,0,0
211,한국삼육고등학교,서울특별시 노원구 화랑로 815,0,0
212,한서고등학교,서울특별시 강서구 양천로11길 47,0,0
213,한성고등학교,서울특별시 서대문구 북아현로1길 24,0,0
214,한성여자고등학교,서울특별시 성북구 삼선교로16길 117,0,0
215,한양대학교사범대학부속고등학교,서울특별시 성동구 마조로 42,0,0
216,한영고등학교,서울특별시 강동구 동남로 832,0,0
217,해성여자고등학교,서울특별시 동대문구 전농로20길 31,0,0
218,현대고등학교,서울특별시 강남구 압구정로 127,0,0
219,혜성여자고등학교,서울특별시 노원구 노원로16길 2,0,0
220,혜원여자고등학교,서울특별시 중랑구 봉우재로58길 39,0,0
221,혜화여자고등학교,서울특별시 강북구 인수봉로 127,0,0
222,홍익대학교사범대학부속고등학교,서울특별시 성북구 성북로14가길 23,0,0
223,홍익대학교사범대학부속여자고등학교,서울특별시 마포구 성미산로 51,0,0
224,화곡고등학교,서울특별시 강서구 강서로45길 69,0,0
225,환일고등학교,서울특별시 중구 환일길 47,0,0
226,효문고등학교,서울특별시 도봉구 우이천로 432,0,0
227,휘경여자고등학교,서울특별시 동대문구 한천로 247,0,0
228,휘문고등학교,서울특별시 강남구 역삼로 541,0,0
229,휘봉고등학교,서울특별시 동대문구 한천로 290,0,0
